artist,song,duration_ms,year,popularity,danceability,tempo
blink-182,All The Small Things,167066,1999,79,0.434,148.726
Faith Hill,Breathe,250546,1999,66,0.529,136.859
Sisqo,Thong Song,253733,1999,69,0.706,121.549
Destiny's Child,Say My Name,271333,1999,75,0.713,138.009
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,1999,56,0.745,129.962
Sting,Desert Rose,285960,1999,62,0.586,111.989
Melanie C,Never Be The Same Again,294200,1999,61,0.689,160.067
Anastacia,I'm Outta Love - Radio Edit,245400,1999,64,0.761,119.41
Gigi D'Agostino,The Riddle,285426,1999,64,0.74,127.002
Dr. Dre,The Next Episode,161506,1999,82,0.922,95.295
Tom Jones,Sexbomb,211893,1999,65,0.801,122.979
Melanie C,I Turn To You,352173,1999,54,0.522,135.205
DMX,Party Up,268866,1999,71,0.51,201.936
Britney Spears,Born to Make You Happy,243533,1999,58,0.633,84.11
Montell Jordan,Get It On Tonite,276266,1999,59,0.813,99.008
JAY-Z,Big Pimpin',283066,1999,69,0.88,138.083
Enrique Iglesias,Be With You,219360,1999,54,0.683,121.996
Dr. Dre,Forgot About Dre,222293,1999,79,0.924,133.974
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,1999,68,0.63,167.998
Sisqo,Incomplete,274226,1999,60,0.746,119.311
Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,1999,59,0.348,129.297
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,1999,63,0.854,103.032
Christina Aguilera,I Turn to You,273706,1999,61,0.599,127.177
Red Hot Chili Peppers,Otherside,255373,1999,78,0.458,123.229
Santana,Maria Maria (feat. The Product G&B),261973,1999,66,0.777,97.911
Madison Avenue,Don't Call Me Baby,228140,1999,56,0.808,124.999
Destiny's Child,Jumpin' Jumpin',230200,1999,70,0.771,88.997
Céline Dion,That's the Way It Is,241373,1999,64,0.634,93.04
Donell Jones,Where I Wanna Be,253626,1999,57,0.664,102.053
Savage Garden,Crash and Burn,281466,1999,54,0.581,102.03
Marc Anthony,You Sang To Me,347106,1999,56,0.578,165.98
Creed,With Arms Wide Open,274800,1999,64,0.41,138.852
Wheatus,Teenage Dirtbag,241666,1999,71,0.625,94.661
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,1999,64,0.829,118.903
Creed,Higher,316733,1999,69,0.459,155.827
Crazy Town,Butterfly,216733,1999,71,0.736,103.502
Dido,Thank You,218360,1999,73,0.725,79.984
Anastacia,Sick and Tired,212266,1999,56,0.598,99.848