Year,Revenue (in USD),Source
1972,500,"https://www.atarimagazines.com/hi-res/v1n1/atarihistory.php#:~:text=Atari%2C%20launched%20on%20an%20initial,teenagers%20and%20pinstriped%20stockbrokers%20alike."
1973,3200000,https://landley.net/history/mirror/atari/museum/Atari-Timeline.html
1974,39000000,https://www.gamedeveloper.com/business/the-history-of-atari-1971-1977
1975,40000000,https://landley.net/history/mirror/atari/museum/Atari-Timeline.html
1976,100000000,https://www.gamedeveloper.com/business/the-history-of-atari-1971-1977
1977,120000000,https://www.gamedeveloper.com/business/the-history-of-atari-1971-1977
1978,120000000,https://timesmachine.nytimes.com/timesmachine/1982/12/19/110371.html?pageNumber=171
1979,200000000,https://landley.net/history/mirror/atari/museum/Atari-Timeline.html
1980,415000000,https://landley.net/history/mirror/atari/museum/Atari-Timeline.html
1981,35000000,https://www.recordnet.com/story/business/2001/09/09/looking-back-at-atari-s/50773307007/
1982,203000000,https://landley.net/history/mirror/atari/museum/Atari-Timeline.html