Video ID,View Count,Month Posted
7355661426414898474,11200000,April
7376296608771722538,13900000,June
7454288096243387694,424500,December
7453888197903404331,243900,December
7453539075853716782,71100,December
7453121194108210475,54700,December
7452799212221205806,277900,December
7452509244701625643,19100,December
7452101907885133098,218600,December
7451695163514113322,18400,December
7449797646564347182,223300,December
7449027431396330798,49000,December
7448685154991672622,227400,December
7448298584287481134,46000,December
7447956816677440811,30300,December
7447564622900628782,50700,December
7447209675147218219,78800,December
7446858452305022250,634400,December
7446447013786570030,327600,December
7446086040793681194,47100,December
7444587923804065066,38800,December
7444230339251178794,35700,December
7443805002659007790,16400,December
7443460912469593387,568500,December
7442737564613741866,265300,November
7441975189241449774,46200,November
7441595616070815022,74700,November
7441276184463346990,1100000,November
7440511856709635374,99100,November
7440121068485987627,213700,November
7439757680371322158,3400000,November
7439440070899371310,413900,November
7439021634796784939,150500,November
7438654891553393966,4400000,November
7438293299787746606,147700,November
7437931444644924718,771400,November
7436514425240161579,23200,November
7436443125956087082,2900000,November
7436045581916802350,1100000,November
7435767550241279275,2500000,November
7435308032373902635,3900000,November
7434660151614803242,700700,November
7434265980722810154,72700,November
7433876858162318638,67600,November
7433122584218045739,37300,November
7432739681671974186,138100,November
7432364999961611566,573400,November
7431980758316862766,75100,October
7431660383686921515,609600,October
7431233353224949034,30800,October
7430873463876816171,92300,October
7430566068495682858,40700,October
7430110581690060074,30100,October
7429767468463312174,85300,October
7429397578040560939,228600,October
7428987755981524270,52400,October
7428259399061212459,41100,October
7427981363564924202,915900,October
7427546515658313006,56200,October
7427194760621788462,41800,October
7426807034462391598,43400,October
7426032202560900383,33200,October
7425667201941916974,95800,October
7425298465099500843,440200,October
7424941963998416174,119100,October
7424553159156108590,4600000,October
7423807728709111082,94200,October
7423446748938456363,711600,October
7422700752679865643,32000,October
7422335100500626731,406700,October
7421970168592567598,1300000,October
7421223628844354862,29000,October
7420835596379213098,31400,October
7420486660921543978,64400,September
7420102373898472747,28500,September
7419359364596747562,69600,September
7418613858895498539,652000,September
7417909516521671967,29800,September
7417539105015336223,118900,September
7416763951943306527,58100,September
7416402715552533791,197000,September
7416036945240837406,65600,September
7415709481935424798,64800,September
7415265752195910943,2400000,September
7414906069085916446,201900,September
7414523473965354271,157700,September
7414187212453006622,26900,September
7413834113813155102,4200000,September
7413437789787720990,40000,September
7413007455812193566,18000,September
7411920369054944542,121300,September
7411543209299528990,1200000,September
7411181319289392415,5400000,September
7410436106367405343,315800,September
7409716389746855199,265000,September
7409374035060018463,138700,August
7409089214484122910,32600,August
7408254249966128415,634400,August
7407846891502832926,42400,August
7407101960396000542,79600,August
7406737370197839134,352300,August
7406370884384066846,236000,August
7405984808679116063,64100,August
7405641842286480671,24900,August
7405251931091897630,40500,August
7404901319825280286,39600,August
7404510580066831646,48700,August
7404124219950353695,375600,August
7403794796126539039,27400,August
7403401641745075486,27200,August
7403020365443697951,205000,August
7401544785988717854,754500,August
7401192159388470559,48200,August
7400425689314282782,84200,August
7400053862897290527,2100000,August
7399682637352291614,110700,August
7398942162374675743,42100,August
7398612687434943775,84000,August
7398209836711775518,48500,August
7397835061120273695,206900,July
7397451545568152862,1300000,July
7396703096086351135,89500,July
7396352574598712607,121300,July
7395228838789172511,4300000,July
7394502071107472671,354500,July
7394134320132197662,67400,July
7393372204123163934,1700000,July
7392647064338959646,77300,July
7392286471798983967,72600,July
7391910050681359646,3700000,July
7391176705664109854,735600,July
7390789147180551454,909500,July
7390419497099808030,11800000,July
7390076193988463903,65700,July
7389287675737541930,214000,July
7388580652569906475,70800,July
7388174467018525994,56800,July
7387858038146845995,32500,July
7387437280677596462,249900,July
7387089524490259754,1400000,July
7386720986948767018,237000,July
7386344123306904875,1200000,June
7385964056148053290,54700,June
7385604590655294762,63000,June
7385215463665569067,59500,June
7384876932107603243,68500,June
7384476185155292462,1400000,June
7384108635632323883,63000,June
7383731264756534571,1800000,June
7383374632558021930,77100,June
7382998599187057962,46400,June
7382627172109798698,35800,June
7382244294867815723,61700,June
7381876493531565354,4900000,June
7381155244522130730,3300000,June
7380764435821972779,9500000,June
7380372994163494187,162700,June
7380049000239566123,1100000,June
7379657147128319278,29000,June
7378152674274970926,124900,June
7374893281802472747,102300,May
7374455997332655406,52500,May
7372992585394162986,1100000,May
7372695750154800426,50100,May
7372249101976472875,4200000,May
7371875334758681898,65400,May
7371536505518509355,66500,May
7371163558308138286,62300,May
7370793694493936942,1100000,May
7370383699147476270,83500,May
7369998588966931755,270100,May
7368561705363803435,54000,May
7368490083449687342,45400,May
7368171426550926634,78300,May
7367421252757409070,37000,May
7366679208925515054,28900,May
7366285149920709930,74600,May
7365927065490558254,124500,May
7364577629049081134,30400,May
7364141845666024750,2700000,May
7363729779805244714,49700,April
7363402544611085610,90900,April
7362962633210809646,131300,April
7362582256646425898,26900,April
7362271654258412842,41600,April
7361932325216718126,571800,April
7361863097776213294,49000,April
7361456610230734123,17900,April
7361184169508015406,269300,April
7360724396903828778,16700,April
7360457657787977003,546800,April
7360408655138884910,53100,April
7359611961941839147,49400,April
7358924571669515563,37100,April
7358517012924140846,38700,April
7358136966610799915,33700,April
7357770093184470314,68000,April
7356664222652189995,351200,April
7356295109253598507,1200000,April
7356064060296744234,484000,April
7355136640609717547,71600,April
7354762658710605098,50000,April
7354389939930303787,112000,April
7354020331935288618,320500,April
7353672192435031339,2100000,April
7353270076730264878,102900,April
7352911392556567850,24100,April
7352178021312351534,76300,March
7351792252131298602,195800,March
7351448614821973291,20900,March
7351058739069275435,37300,March
7350721262362168619,953500,March
7349996541832383790,205300,March
7349608702925819182,427500,March
7349196273079029034,1100000,March
7348823470374931754,465700,March
7348460340914523435,258200,March
7348131000905469227,394700,March
7347711183870283050,13700,March
7347308322174913835,49600,March
7346197368758373675,2100000,March
7345505561590418731,48200,March
7345121098159230254,18100,March
7344764512135957803,845100,March
7344438016049450283,221200,March
7344094741182696746,919800,March
7343659188570033451,23300,March
7343313716093521198,111400,March
7342906776771104042,7200000,March
7342197134466370858,30300,March
7341827269347872042,104400,March
7341477436032306474,19200,March
7341174155867409707,10500,February
7341117182467919150,43400,February
7341033928628817198,81300,February
7340701835746938158,52600,February
7340346793185611051,370500,February
7339999801007770922,1100000,February
7339685620937215275,19300,February
7339224200218987822,3900000,February
7338671353580571950,75900,February
7338498039742598443,41200,February
7338092423442140458,31800,February
7337744753028533547,55300,February
7336978320875081006,43000,February
7336606170104286507,37900,February
7336246214406475050,32100,February
7335857956568829227,770600,February
7335513878257798442,79100,February
7335121233727737134,183800,February
7334396404963527978,94500,February
7334065763210382634,56600,February
7333620052148718891,83800,February
7332958544968387882,96900,February
7332502644667239722,35800,February
7332037859563687211,78900,February
7331448177607937322,4600000,February
7331072505626791214,566700,February
7330805172366626090,41000,February
7330136175870594346,41300,January
7329693293766544686,26800,January
