track_name,track_artist,track_duration_mins,track_duration_ms
Risk It All,Bruno Mars,3.24,194400
DtMF,Bad Bunny,3.57,214200
Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",3.05,183000
Man I Need,Olivia Dean,3.04,182400
Opalite,Taylor Swift,3.55,213000
End of Beginning,Djo,2.39,143400
Homewrecker,sombr,3.17,190200
WHERE IS MY HUSBAND!,RAYE,3.58,214800
Folded,Kehlani,3.08,184800
CHANEL,Tyla,5.12,307200
Aperture,Harry Styles,2.56,153600
So Easy (To Fall In Love),Olivia Dean,2.49,149400
Gabriela,KATSEYE,3.17,190200
bittersweet,Madison Beer,3.23,193800
Choosin' Texas,Ella Langley,3.52,211200
I Just Might,Bruno Mars,3.33,199800
Die On This Hill,SIENNA SPIRO,3.37,202200
The Fate of Ophelia,Taylor Swift,3.46,207600
Love Me Not,Ravyn Lenae,3.33,199800
Ordinary,Alex Warren,3.07,184200
The Great Divide,Noah Kahan,5.18,310800
Dracula - JENNIE Remix,"Tame Impala, JENNIE",3.3,198000
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",3.15,189000
Tears,Sabrina Carpenter,2.4,144000
12 to 12,sombr,4.03,241800
Raindance (feat. Tems),"Dave, Tems",3.4,204000
Drag Path,Twenty One Pilots,3.44,206400
luther (with sza),"Kendrick Lamar, SZA",2.58,154800
Fame is a Gun,Addison Rae,3.03,181800
No Broke Boys,"Disco Lines, Tinashe",2.44,146400
What You Saying,Lil Uzi Vert,2.12,127200
Messy,Lola Young,4.44,266400
Midnight Sun,Zara Larsson,3.1,186000
Die With A Smile,"Lady Gaga, Bruno Mars",4.12,247200
WILDFLOWER,Billie Eilish,4.21,252600
White Keys,Dominic Fike,2.24,134400
iloveitloveitloveit,Bella Kay,3.03,181800
Manchild,Sabrina Carpenter,3.34,200400
E85,Don Toliver,2.33,139800
FEVER DREAM,Alex Warren,2.33,139800
Dying for You,Charli xcx,3.02,181200
Who Knows,Daniel Caesar,3.46,207600
Sienna,The Marias,3.45,207000
butterflies.,Brent Faiyaz,4.08,244800
Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",4.16,249600
Pink Pony Club,Chappell Roan,4.18,250800
That's So True,Gracie Abrams,2.46,147600
La Perla,"ROSALIA, Yahritza Y Su Esencia",3.16,189600
4 Raws,EsDeeKid,2.27,136200