name,track_number,acousticness,danceability,energy,loudness,tempo,valence,popularity,duration_ms
imgonnagetyouback,18,0.608,0.784,0.391,-9.471,110.007,0.15,81,222072
I Look in People's Windows,25,0.69,0.763,0.274,-11.429,90.796,0.385,76,131907
I Can Do It With a Broken Heart,13,0.123,0.701,0.751,-8.39,129.994,0.22,82,218004
Clara Bow,16,0.636,0.686,0.318,-11.046,104.088,0.214,76,216662
I Can Fix Him (No Really I Can),11,0.768,0.661,0.257,-13.961,106.896,0.318,77,156297
The Alchemy,15,0.422,0.64,0.421,-8.802,100.056,0.353,78,196900
Guilty as Sin?,9,0.607,0.626,0.428,-8.374,94.95,0.487,82,254365
thanK you aIMee,24,0.609,0.609,0.541,-8.013,95.997,0.252,76,263817
Whoâ€™s Afraid of Little Old Me?,10,0.315,0.606,0.338,-10.555,119.88,0.238,81,334084
The Tortured Poets Department,2,0.0483,0.604,0.428,-8.441,110.259,0.292,79,293048
My Boy Only Breaks His Favorite Toys,3,0.137,0.596,0.563,-7.362,97.073,0.481,80,203801
Cassandra,27,0.806,0.587,0.587,-9.879,139.963,0.514,76,240205
Down Bad,4,0.56,0.541,0.366,-10.412,159.707,0.168,82,261228
Florida!!! (feat. Florence + The Machine),8,0.178,0.533,0.573,-7.123,150.088,0.398,79,215463
The Black Dog,17,0.707,0.527,0.27,-10.855,154.042,0.23,79,238857
But Daddy I Love Him,6,0.384,0.521,0.72,-7.684,79.943,0.438,81,340428
Chloe or Sam or Sophia or Marcus,20,0.78,0.516,0.451,-8.552,70.266,0.218,77,213281
The Manuscript,31,0.901,0.509,0.256,-11.665,94.184,0.436,74,224743
Fortnight (feat. Post Malone),1,0.502,0.504,0.386,-10.976,192.004,0.281,82,228965
How Did It End?,21,0.785,0.492,0.379,-8.859,83.993,0.273,80,238706
I Hate It Here,23,0.717,0.485,0.562,-7.197,105.953,0.297,78,243875
Robin,30,0.791,0.476,0.386,-10.601,138.265,0.158,73,240893
The Bolter,29,0.638,0.455,0.586,-7.978,183.694,0.481,77,238241
The Smallest Man Who Ever Lived,14,0.52,0.426,0.41,-9.083,142.377,0.263,81,245541
So Long London,5,0.73,0.423,0.533,-11.388,160.218,0.248,80,262974
loml,12,0.858,0.423,0.272,-12.56,78.539,0.195,80,277156
The Prophecy,26,0.825,0.421,0.525,-10.359,167.927,0.535,81,249807
So High School,22,0.0274,0.366,0.866,-4.514,176.07,0.293,82,228800
The Albatross,19,0.655,0.352,0.479,-8.942,172.013,0.292,77,183878
Peter,28,0.805,0.342,0.376,-8.212,176.859,0.29,77,283957
Fresh Out The Slammer,7,0.624,0.33,0.483,-9.394,87.115,0.34,78,210789