Label,Track,Artist,Valence
?,Texas Hold 'Em,Beyonce,0.353
Country,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,0.155
Country,Fast Car,Luke Combs,0.67
Country,World on Fire,Nate Smith,0.411
Country,Last Night,Morgan Wallen,0.488
Country,I Can Feel It,Kane Brown,0.55
Country,Memory Lane,Old Dominion,0.376
Country,Lipstick On A Beer Can,Cody Bradley,0.295
Country,Looking for You,Chris Young,0.537
Country,Mamaw's House,Thomas Rhett,0.422
Country,Need A Favor,Jelly Roll,0.557
Country,Religiously,Bailey Zimmerman,0.648
Country,Heart For A Heart,Maya Lane,0.385
Country,The Painter,Cody Johnson,0.261
Country,Heartbroken (feat. Jessie Murph & Polo G),Diplo,0.628
Country,TRUCK BED,HARDY,0.772
Country,Ain’t That Some,Morgan Wallen,0.686
Country,On a Backroad,Richie Allen,0.341
Country,We Ride,Bryan Martin,0.591
Country,White Horse,Chris Stapleton,0.224
Country,Closure,Kaleb Sanders,0.658
Country,Different 'Round Here,Riley Green,0.313
Country,This Town's Been Too Good To Us,Dylan Scott,0.577
Country,Nobody's Nobody,Brothers Osborne,0.601
Country,Burn It Down,Parker McCollum,0.334
Country,Howdy,Clayton Johnson,0.679
Country,5 Foot 9,Tyler Hubbard,0.507
Country,Save Me (with Lainey Wilson),Jelly Roll,0.146
Country,Angels (Don’t Always Have Wings),Thomas Rhett,0.23
Country,Into the Storm,Jake Simon,0.307
Country,Rock and A Hard Place,Bailey Zimmerman,0.394
Country,Dawns (feat. Maggie Rogers),Zach Bryan,0.286
Country,Dancing Slow,Sage Castleberry,0.275
Country,Something's Gonna Kill Me,Corey Kent,0.405
Country,Where the Wild Things Are,Luke Combs,0.379
Country,Thinkin’ Bout Me,Morgan Wallen,0.468
Country,Nobody's Business,David Payne,0.364
Country,Bury Me in Georgia - Single Edit,Kane Brown,0.457
Country,Next Thing You Know,Jordan Davis,0.399
Country,Outskirts,Sam Hunt,0.194
Country,Save Me The Trouble,Dan + Shay,0.376
Country,Looking Back Now,First Time Flyers,0.451
Country,What If I Don't,Shaylen,0.568
Country,goodbye looks good on you (feat. Mitchell Tenpenny),Alana Springsteen,0.695
Country,Out Of That Truck,Carrie Underwood,0.811
Country,Bigger in Texas,Bri Fletcher,0.376
Country,I'm Not Pretty,Megan Moroney,0.705
Country,Country Boy's Dream Girl,Ella Langley,0.436
Country,The Kind of Love We Make,Luke Combs,0.464
Country,Love You Again,Chase Matthew,0.472
Country,Call It,Gulf Stream Riders,0.322
Country,She Had Me At Heads Carolina,Cole Swindell,0.722
Country,God Gave Me A Girl,Russell Dickerson,0.37
Country,Girl In Mine,Parmalee,0.887
Country,Whiskey On You,Nate Smith,0.569
Country,Gulf Wind,Clayton Mann,0.528
Country,Giving Up On That,Dalton Dover,0.425
Country,Thinking 'Bout You (feat. MacKenzie Porter),Dustin Lynch,0.785
Country,5 Leaf Clover,Luke Combs,0.336
Country,I Wrote The Book,Morgan Wallen,0.833
Country,Mountain With A View,Kelsea Ballerini,0.447
Country,You Me And Whiskey,Justin Moore,0.422
Country,Love You Anyway,Luke Combs,0.32
Country,Tennessee Orange,Megan Moroney,0.268
Country,Get to Gettin’ Gone,Bailey Zimmerman,0.55
Country,Angels in Disguise,Truck Pierce,0.42
Country,Thank God,Kane Brown,0.441
Country,You Proof,Morgan Wallen,0.681
Country,Every Night Every Morning,Maddie & Tae,0.62
Country,All I Need Is You,Chris Janson,0.588
Country,Brown Eyes Baby,Keith Urban,0.522
Country,One Thing At A Time,Morgan Wallen,0.399
Country,Handle On You,Parker McCollum,0.619
Country,Glory Days,Gabby Barrett,0.266
Country,Water Under The Bridge,Sam Hunt,0.853
Country,Outrunnin' Your Memory,Luke Combs,0.338
Country,Last Night Lonely,Jon Pardi,0.851
Country,Drunk on You,burke.,0.648
Country,Tennessee Tuff,Terry Glen Adams,0.763
Country,If He Wanted To He Would,Kylie Morgan,0.734
Country,Like I Love Country Music,Kane Brown,0.702
Country,Dancin’ In The Country,Tyler Hubbard,0.532
Country,What My World Spins Around,Jordan Davis,0.7
Country,Miles Run Out,Zebb Rogers,0.936
Country,Half Of Me,Thomas Rhett,0.665
Country,Backroad,Sul Ross Band,0.548
Country,Fall In Love,Bailey Zimmerman,0.397
Country,Don't Think Jesus,Morgan Wallen,0.21
Country,No Hard Feelings,Old Dominion,0.963
Country,23,Sam Hunt,0.693
Country,Dancin' In The Moonlight,Chris Lane,0.559
Country,Broadway Girls (feat. Morgan Wallen),Lil Durk,0.54
Country,Wild as Her,Corey Kent,0.448
Country,What He Didn't Do,Carly Pearce,0.559
Country,Thought You Should Know,Morgan Wallen,0.552
Country,Buy Dirt,Jordan Davis,0.437
Country,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,0.473
Country,Flower Shops,ERNEST,0.231
Country,Wilder Days,Morgan Wade,0.4
Country,Til You Can't,Cody Johnson,0.46
Country,If I Didn't Love You,Jason Aldean,0.445
Not Country,MILLION DOLLAR BABY,Tommy Richman,0.92
Not Country,Not Like Us,Kendrick Lamar,0.21
Not Country,i like the way you kiss me,Artemas,0.75
Not Country,Flowers,Miley Cyrus,0.63
Not Country,Houdini (Eminem),Eminem,0.91
Not Country,Lovin On Me,Jack Harlow,0.61
Not Country,Beautiful Things,Benson Boone,0.22
Not Country,BAND4BAND (feat. Lil Baby),Central Cee,0.89
Not Country,I Had Some Help (feat. Morgan Wallen),Post Malone,0.75
Not Country,The Door,Teddy Swims,0.76
Not Country,LUNCH,Billie Eilish,0.94
Not Country,Like That,Future,0.31
Not Country,BLUE,Billie Eilish,0.04
Not Country,As It Was,Harry Styles,0.66
Not Country,Paint The Town Red,Doja Cat,0.73
Not Country,Espresso,Sabrina Carpenter,0.71
Not Country,STAY (with Justin Bieber),The Kid LAROI,0.48
Not Country,Baby Shark,Pinkfong,0.78
Not Country,we can't be friends (wait for your love),Ariana Grande,0.31
Not Country,A Bar Song (Tipsy),Shaboozey,0.61
Not Country,Lose Control,Teddy Swims,0.24
Not Country,Water,Tyla,0.52
Not Country,Too Sweet,Hozier,0.96
Not Country,BIRDS OF A FEATHER,Billie Eilish,0.44
Not Country,SHEESH,BABYMONSTER,0.46
Not Country,Strangers,Kenya Grace,0.42
Not Country,fukumean,Gunna,0.22
Not Country,Dance Monkey,Tones And I,0.51
Not Country,Cupid - Twin Ver. (FIFTY FIFTY) - Sped Up Version,sped up 8282,0.88
Not Country,Daylight,David Kushner,0.32
Not Country,My Love Mine All Mine,Mitski,0.12
Not Country,Please Please Please,Sabrina Carpenter,0.33
Not Country,Houdini,Dua Lipa,0.86
Not Country,If We Ever Broke Up,Mae Stephens,0.96
Not Country,Despacito,Luis Fonsi,0.84
Not Country,euphoria,Kendrick Lamar,0.14
Not Country,Gata Only,FloyyMenor,0.66
Not Country,bathroom floor,Kids With Buns,0.04
Not Country,LALA,Myke Towers,0.61
Not Country,Fortnight (feat. Post Malone),Taylor Swift,0.28
Not Country,Numb / Encore,JAY-Z & Linkin Park,0.75
Not Country,What's Love Got to Do with It - 2023 Remaster,Tina Turner,0.79
Not Country,I'm Good (Blue),David Guetta & Bebe Rexha,0.34
Not Country,Calm Down (with Selena Gomez),Rema & Selena Gomez,0.81
Not Country,Shape of You,Ed Sheeran,0.93
Not Country,Blinding Lights,The Weeknd,0.34
Not Country,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,0.16
Not Country,Back That Azz Up (feat. Lil Wayne & Mannie Fresh),JUVENILE,0.54
Not Country,Me Porto Bonito,Bad Bunny & Chencho Corleone,0.25
Not Country,Calm Down,Rema,0.82
Not Country,Kill Bill,SZA,0.47
Not Country,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0.14
Not Country,Heat Waves,Glass Animals,0.53
Not Country,In the End,Linkin Park,0.46
Not Country,Sprinter,Dave & Central Cee,0.66
Not Country,CHIHIRO,Billie Eilish,0.52
Not Country,TQG,KAROL G & Shakira,0.7
Not Country,Perfect,Ed Sheeran,0.17
Not Country,Pepas,Farruko,0.44
Not Country,Ella Baila Sola,Eslabon Armado & Peso Pluma,0.83
Not Country,Dance The Night - From Barbie The Album,Dua Lipa,0.61
Not Country,Unholy (feat. Kim Petras),Sam Smith,0.12
Not Country,Stereo Love - Melodic,Edward Maya,0.55
Not Country,La Bebe - Remix,Yng Lvcas & Peso Pluma,0.86
Not Country,redrum,21 Savage,0.25
Not Country,Easy On Me,Adele,0.13
Not Country,Tití Me Preguntó,Bad Bunny,0.29
Not Country,All My Life (feat. J. Cole),Lil Durk,0.69
Not Country,Anti-Hero,Taylor Swift,0.12
Not Country,Magnetic,ILLIT,0.42
Not Country,Lollipop,Darell,0.93
Not Country,La Diabla,Xavi,0.7
Not Country,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,0.86
Not Country,Snooze,SZA,0.47
Not Country,BELLAKEO,Peso Pluma & Anitta,0.46
Not Country,Agora Hills,Doja Cat,0.51
Not Country,Montagem Rave Eterno,Dj Samir,0.85
Not Country,Lil Boo Thang,Paul Russell,0.92
Not Country,MONACO,Bad Bunny,0.13
Not Country,Laxed (Siren Beat),Jawsh 685,0.96
Not Country,(It Goes Like) Nanana - Edit,Peggy Gou,0.96
Not Country,Training Season,Dua Lipa,0.66
Not Country,Type Shit,Future,0.11
Not Country,Armageddon,aespa,0.47
Not Country,The Box,Roddy Ricch,0.64
Not Country,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.89
Not Country,Pedro,Jaxomy,0.84
Not Country,Bling-Bang-Bang-Born,Creepy Nuts,0.75
Not Country,Saturn,SZA,0.33
Not Country,Believer,Imagine Dragons,0.67
Not Country,WAIT FOR U (feat. Drake & Tems),Future,0.34
Not Country,I KNOW ?,Travis Scott,0.82
Not Country,ANDO,Jere Klein,0.35
Not Country,First Class,Jack Harlow,0.33
Not Country,Save Your Tears - Live,The Weeknd,0.4
Not Country,Losing Interest - Original Mix,Goovex,0.58
Not Country,I Ain't Worried,OneRepublic,0.52
Not Country,vampire,Olivia Rodrigo,0.35
Not Country,Butter,BTS,0.7